,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
673,org.gjt.sp.jedit.buffer.JEditBuffer,jedit.buffer.JEditBuffer,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,Controller
674,org.gjt.sp.jedit.Mode,jedit.Mode,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
675,org.jedit.options.OptionTreeModel,jedit.options.OptionTreeModel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
676,org.gjt.sp.jedit.bsh.UtilEvalError,jedit.bsh.UtilEvalError,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
677,org.gjt.sp.jedit.bsh.EvalError,jedit.bsh.EvalError,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
678,org.gjt.sp.jedit.bsh.NameSpace,jedit.bsh.NameSpace,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,Information Holder
679,org.gjt.sp.jedit.bsh.This,jedit.bsh.This,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
680,org.gjt.sp.jedit.io.CopyFileWorker,jedit.io.CopyFileWorker,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
681,org.gjt.sp.jedit.bsh.BSHEnhancedForStatement,jedit.bsh.BSHEnhancedForStatement,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Service Provider
682,org.gjt.sp.jedit.search.BufferListSet,jedit.search.BufferListSet,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
683,org.gjt.sp.jedit.BufferHistory,jedit.BufferHistory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
684,org.gjt.sp.jedit.options.ModeSettingsPane,jedit.options.ModeSettingsPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
685,org.jedit.options.TabbedOptionDialog,jedit.options.TabbedOptionDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
686,org.gjt.sp.jedit.gui.StatusBar,jedit.gui.StatusBar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
687,org.gjt.sp.jedit.bufferio.BufferLoadRequest,jedit.bufferio.BufferLoadRequest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
