,Role Stereotypes,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
0,Service Provider,2,0,0,12,0,2,0,1,0,0,0,0,4,2,20,0,0,2
0,Controller,0,0,0,3,0,0,0,2,0,0,0,0,2,1,6,0,0,0
0,Information Holder,0,0,0,11,0,3,0,7,0,0,0,0,17,1,9,0,0,1
0,Interfacer,0,0,0,5,0,0,0,1,0,1,0,0,5,1,16,0,0,0
0,Coordinator,1,0,0,3,0,0,0,0,0,0,0,0,1,0,13,0,0,0
0,Structurer,0,0,0,1,0,2,0,1,0,0,0,0,8,0,7,0,0,0
